dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 100 4.txt,100,10,CGR2,FLS,103.00551627178258,103.00551627178258,0.0,1,0.006737993999267928,100.37013824853516,2.0518584257901473,100,,0.9
Geo,Geo 100 5.txt,100,10,CGR,BLS,119.06516730693068,119.71817657120152,0.005454554044953041,0,0.0011122269986663014,110.51118176995233,3.608985490597706,100,0.1,
Geo,Geo 100 5.txt,100,10,CGR,FLS,119.71817657120152,119.71817657120152,0.0,1,0.007965614997083321,115.89293642612458,2.7141723560799598,100,0.1,
Geo,Geo 100 5.txt,100,10,CGR2,BLS,116.78063912192103,119.71817657120152,0.02453710483581763,0,0.001301992004737258,110.10447093619217,3.516785203361386,100,,0.9
Geo,Geo 100 5.txt,100,10,CGR2,FLS,119.71817657120152,119.71817657120152,0.0,1,0.007560595006216317,116.57412724842463,2.3539648979450543,100,,0.9
Geo,Geo 100 6.txt,100,10,CGR,BLS,36.52406610024951,36.52406610024951,0.0,1,0.0012880449986550956,31.03218467466344,2.1028284779515327,100,0.1,
Geo,Geo 100 6.txt,100,10,CGR,FLS,36.52406610024951,36.52406610024951,0.0,1,0.009854963999823668,34.22699301664467,2.1399360028629624,100,0.1,
Geo,Geo 100 6.txt,100,10,CGR2,BLS,34.38668758615407,36.52406610024951,0.05851973075037349,0,0.0011404759978177025,31.02788168945149,1.7286011444362352,100,,0.9
Geo,Geo 100 6.txt,100,10,CGR2,FLS,36.52406610024951,36.52406610024951,0.0,1,0.007314493002486416,34.14596544261563,1.8552162134337717,100,,0.9
Geo,Geo 100 7.txt,100,10,CGR,BLS,185.49516476021367,189.20910948327403,0.01962878390582286,0,0.001048090000404045,180.20429555170315,2.981285844340112,100,0.1,
Geo,Geo 100 7.txt,100,10,CGR,FLS,189.20910948327403,189.20910948327403,0.0,1,0.006394456996931694,184.69271270042245,2.702420187091087,100,0.1,
Geo,Geo 100 7.txt,100,10,CGR2,BLS,188.19356482583387,189.20910948327403,0.005367313763135347,0,0.0010579520039027557,180.4844940221137,2.6946961808293497,100,,0.9
Geo,Geo 100 7.txt,100,10,CGR2,FLS,189.20910948327403,189.20910948327403,0.0,1,0.005642490999307483,184.2702765613514,2.3943211037199923,100,,0.9
Geo,Geo 100 8.txt,100,10,CGR,BLS,110.0244160784281,110.0244160784281,0.0,1,0.001031025002594106,101.74362829641532,3.0807907949747464,100,0.1,
Geo,Geo 100 8.txt,100,10,CGR,FLS,109.84826242772482,110.0244160784281,0.0016010414504514863,0,0.006608372001210228,106.1223575924145,2.615631812616541,100,0.1,
Geo,Geo 100 8.txt,100,10,CGR2,BLS,107.60232956260188,110.0244160784281,0.02201408198430883,0,0.0008230199979152531,101.11577519571634,2.6865143072336193,100,,0.9
Geo,Geo 100 8.txt,100,10,CGR2,FLS,110.0244160784281,110.0244160784281,0.0,1,0.005336232997942716,105.98268359327838,2.906634683155092,100,,0.9
Geo,Geo 100 9.txt,100,10,CGR,BLS,141.2358864095616,141.2358864095616,0.0,1,0.001069282004609704,133.59263147637432,2.7266996060141215,100,0.1,
Geo,Geo 100 9.txt,100,10,CGR,FLS,141.2358864095616,141.2358864095616,0.0,1,0.006425998997292482,138.03989123652292,2.319135749846482,100,0.1,
