instance,algo,param_name,param_value,run_id,seed,objective
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,5,12349,67.52746023918547
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,6,12350,61.367311034657135
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,7,12351,65.31805869769794
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,8,12352,61.62846763203449
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,9,12353,66.219813295171
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,10,12354,60.80637381672095
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,11,12355,62.501309930063876
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,12,12356,55.63416096499575
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,13,12357,56.49332033323933
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,14,12358,61.07828303082711
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,15,12359,61.010620632853055
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,16,12360,59.07889800803083
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,17,12361,58.99147795642714
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,18,12362,64.45731788714173
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,19,12363,57.6024816846708
instances\Geo\Geo 100 1.txt,GRC,alpha,0.4,20,12364,62.94724794957153
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,1,12345,49.97804988159836
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,2,12346,59.07889800803083
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,3,12347,53.930491482456155
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,4,12348,51.057039448121635
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,5,12349,50.052826134331404
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,6,12350,46.86168339236378
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,7,12351,46.78036240988265
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,8,12352,51.769438012004436
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,9,12353,52.13868471561243
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,10,12354,56.31173420234829
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,11,12355,48.93820968608468
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,12,12356,59.07889800803083
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,13,12357,55.934928832266564
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,14,12358,48.17216838714404
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,15,12359,52.47717922990974
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,16,12360,56.17674368680773
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,17,12361,60.93026373632142
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,18,12362,56.31173420234829
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,19,12363,56.49332033323933
instances\Geo\Geo 100 1.txt,GRC,alpha,0.5,20,12364,61.62846763203449
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,1,12345,49.727574968071515
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,2,12346,60.025517972194876
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,3,12347,43.52823915031149
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,4,12348,44.32744101114369
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,5,12349,46.896807058646125
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,6,12350,60.93026373632142
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,7,12351,57.17761928670188
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,8,12352,47.03032029512243
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,9,12353,49.98546237554265
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,10,12354,54.113485746035124
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,11,12355,53.63904623492578
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,12,12356,56.91178101293215
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,13,12357,49.97804988159836
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,14,12358,49.648990516930695
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,15,12359,52.02458430680306
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,16,12360,59.759181092607356
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,17,12361,39.33031163067076
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,18,12362,52.02675210170676
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,19,12363,49.727574968071515
instances\Geo\Geo 100 1.txt,GRC,alpha,0.6,20,12364,53.58791141624555
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,1,12345,51.72834319279518
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,2,12346,47.53577859621252
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,3,12347,52.57988827002511
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,4,12348,43.69943196158877
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,5,12349,43.69943196158877
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,6,12350,55.46673686158509
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,7,12351,48.16531963489882
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,8,12352,47.03032029512243
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,9,12353,46.42588149478512
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,10,12354,42.14628834521828
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,11,12355,48.20629116861718
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,12,12356,40.786118638704735
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,13,12357,48.18914739933798
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,14,12358,51.057039448121635
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,15,12359,48.76438478395741
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,16,12360,42.14628834521828
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,17,12361,48.33800290385858
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,18,12362,37.1310332825256
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,19,12363,48.67839737937427
instances\Geo\Geo 100 1.txt,GRC,alpha,0.7,20,12364,50.99608558818653
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,1,12345,32.937002728827096
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,2,12346,49.654339047092876
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,3,12347,29.568493933396187
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,4,12348,43.69943196158877
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,5,12349,42.82444655943236
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,6,12350,43.95516687231196
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,7,12351,35.334821309881306
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,8,12352,48.58798849629296
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,9,12353,32.79115032519592
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,10,12354,50.11968571476082
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,11,12355,43.687793899956596
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,12,12356,47.509142756108936
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,13,12357,41.20648222890282
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,14,12358,51.79795393499473
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,15,12359,34.223534985140304
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,16,12360,39.35671635488048
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,17,12361,46.78036240988265
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,18,12362,48.32536870306493
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,19,12363,52.198138886575876
instances\Geo\Geo 100 1.txt,GRC,alpha,0.8,20,12364,44.32744101114369
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,1,12345,41.4718084718646
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,2,12346,38.24928742776398
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,3,12347,43.02241776171149
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,4,12348,41.091646159582616
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,5,12349,28.660780165241302
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,6,12350,35.842055221432894
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,7,12351,41.96614775995637
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,8,12352,23.253399012373784
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,9,12353,49.98546237554265
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,10,12354,32.79115032519592
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,11,12355,36.789567988767274
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,12,12356,45.681576693183644
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,13,12357,29.817233158012424
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,14,12358,51.83082063717414
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,15,12359,39.33031163067076
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,16,12360,35.24084992937453
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,17,12361,29.01740067129567
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,18,12362,48.32536870306493
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,19,12363,55.44109257674351
instances\Geo\Geo 100 1.txt,GRC,alpha,0.9,20,12364,41.534810729493806
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,1,12345,39.33549226248239
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,2,12346,37.749704709365595
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,3,12347,31.741506583520504
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,4,12348,27.9535354431734
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,5,12349,28.660780165241302
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,6,12350,37.559671568285786
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,7,12351,46.404586363997495
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,8,12352,43.69943196158877
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,9,12353,30.61687895875112
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,10,12354,37.749704709365595
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,11,12355,37.043269720768684
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,12,12356,40.97531386788548
