dataset,instance,n,m,frac,method,best_method_of,best_global_of,relative_dev,is_best,reps,time_limit_s,alpha,avg_best_of,std_best_of,avg_time_per_rep_s,es_size,time_doing_grasp
Geo,Geo 250 7.txt,250,25,0.1,GRASP,175.71320164607823,175.71320164607823,0.0,1,3,15.0,0.1,175.71320164607823,0.0,15.041138172149658,,
Geo,Geo 250 7.txt,250,25,0.1,GRASP_PR,175.71320164607823,175.71320164607823,0.0,1,3,15.0,0.1,175.09968400104296,0.43382248718204947,15.006243467330933,10,0.6
Geo,Geo 250 8.txt,250,25,0.1,GRASP,164.51338070669482,164.51338070669482,0.0,1,3,15.0,0.1,164.35229143480686,0.22781463305673283,15.02078111966451,,
Geo,Geo 250 8.txt,250,25,0.1,GRASP_PR,164.51338070669482,164.51338070669482,0.0,1,3,15.0,0.1,164.19120216291893,0.22781463305673283,15.006576379140219,10,0.6
Geo,Geo 250 9.txt,250,25,0.1,GRASP,179.17754568217686,179.17754568217686,0.0,1,3,15.0,0.1,179.17259901994086,0.006995636822622074,15.003925005594889,,
Geo,Geo 250 9.txt,250,25,0.1,GRASP_PR,179.17754568217686,179.17754568217686,0.0,1,3,15.0,0.1,179.17754568217686,0.0,15.007617870966593,10,0.6
Geo,Geo 250 10.txt,250,25,0.1,GRASP,102.22717864710907,102.22717864710907,0.0,1,3,15.0,0.1,102.22717864710906,0.0,15.036647160847982,,
Geo,Geo 250 10.txt,250,25,0.1,GRASP_PR,102.22717864710907,102.22717864710907,0.0,1,3,15.0,0.1,102.22717864710906,0.0,15.007246414820353,10,0.6
Geo,Geo 250 11.txt,250,75,0.3,GRASP,31.096463943751676,31.374334240689876,0.008856611738961647,0,3,15.0,0.1,31.05710503204209,0.037520066242522444,15.352742195129395,,
Geo,Geo 250 11.txt,250,75,0.3,GRASP_PR,31.374334240689876,31.374334240689876,0.0,1,3,15.0,0.1,31.189087376064407,0.130989314170214,15.024940252304077,10,0.6
Geo,Geo 250 12.txt,250,75,0.3,GRASP,93.49607279646592,93.83993157678188,0.0036643119249783573,0,3,15.0,0.1,93.2998689176952,0.27747418634776155,15.161754846572876,,
Geo,Geo 250 12.txt,250,75,0.3,GRASP_PR,93.83993157678188,93.83993157678188,0.0,1,3,15.0,0.1,93.6059373891158,0.1655613329842102,15.016557296117147,10,0.6
Geo,Geo 250 13.txt,250,75,0.3,GRASP,144.47137699318026,144.9366466537845,0.0032101588614482177,0,3,15.0,0.1,144.4212767523372,0.035426220039200505,15.25180188814799,,
Geo,Geo 250 13.txt,250,75,0.3,GRASP_PR,144.9366466537845,144.9366466537845,0.0,1,3,15.0,0.1,144.62717970188137,0.21882792173886112,15.03674284617106,10,0.6
Geo,Geo 250 14.txt,250,75,0.3,GRASP,69.93346747952316,70.25225523765282,0.004537758354536063,0,3,15.0,0.1,69.88666343764437,0.04382434567403819,15.246314605077108,,
Geo,Geo 250 14.txt,250,75,0.3,GRASP_PR,70.25225523765282,70.25225523765282,0.0,1,3,15.0,0.1,70.20659895923208,0.06456772815008748,15.039681116739908,10,0.6
Geo,Geo 250 15.txt,250,75,0.3,GRASP,142.42867425549605,142.49755892616548,0.00048340947865026793,0,3,15.0,0.1,142.42867425549605,0.0,15.449966271718344,,
Geo,Geo 250 15.txt,250,75,0.3,GRASP_PR,142.49755892616548,142.49755892616548,0.0,1,3,15.0,0.1,142.45163581238586,0.03247254516677233,15.033277034759521,10,0.6
Geo,Geo 250 16.txt,250,75,0.3,GRASP,108.04585787030845,108.04585787030845,0.0,1,3,15.0,0.1,107.48558285966004,0.40316623243470595,15.058237791061401,,
Geo,Geo 250 16.txt,250,75,0.3,GRASP_PR,108.04585787030845,108.04585787030845,0.0,1,3,15.0,0.1,107.7962407603428,0.3530119023138056,15.027822176615397,10,0.6
Geo,Geo 250 17.txt,250,75,0.3,GRASP,123.53210128147484,124.25339168273817,0.005804995674524807,0,3,15.0,0.1,123.51042345815698,0.030657071738850232,15.156438112258911,,
Geo,Geo 250 17.txt,250,75,0.3,GRASP_PR,124.25339168273817,124.25339168273817,0.0,1,3,15.0,0.1,124.04478818209543,0.29500989976745806,15.022873481114706,10,0.6
Geo,Geo 250 18.txt,250,75,0.3,GRASP,148.76186819516758,148.76186819516758,0.0,1,3,15.0,0.1,148.5560885127189,0.20360731844437807,15.119864781697592,,
Geo,Geo 250 18.txt,250,75,0.3,GRASP_PR,148.72335913374295,148.76186819516758,0.00025886379279743856,0,3,15.0,0.1,148.3249257726026,0.49731452801184517,15.028005520502726,10,0.6
Geo,Geo 250 19.txt,250,75,0.3,GRASP,134.45722867742933,134.45722867742933,0.0,1,3,15.0,0.1,134.1727977614387,0.29024124670510904,15.32439374923706,,
Geo,Geo 250 19.txt,250,75,0.3,GRASP_PR,133.81341452980976,134.45722867742933,0.004788244960515382,0,3,15.0,0.1,133.81341452980976,0.0,15.039167483647665,10,0.6
Geo,Geo 250 20.txt,250,75,0.3,GRASP,147.6391045763813,147.8319546269661,0.0013045220911232632,0,3,15.0,0.1,147.44335473786938,0.13847540204440142,15.102165540059408,,
Geo,Geo 250 20.txt,250,75,0.3,GRASP_PR,147.8319546269661,147.8319546269661,0.0,1,3,15.0,0.1,147.67145151776114,0.22698567384071447,15.049328168233236,10,0.6
Geo,Geo 500 1.txt,500,50,0.1,GRASP,123.22420603926966,123.65359146822489,0.0034724865154083877,0,3,30.0,0.1,123.00593948858125,0.15433775809798017,30.25986711184184,,
Geo,Geo 500 1.txt,500,50,0.1,GRASP_PR,123.65359146822489,123.65359146822489,0.0,1,3,30.0,0.1,123.26794063607986,0.30912675409507195,30.05188576380412,10,0.6
Geo,Geo 500 2.txt,500,50,0.1,GRASP,13.092599602505418,13.286532807586374,0.014596223701809076,0,3,30.0,0.1,12.866846969210556,0.18523349342422923,30.04920442899068,,
Geo,Geo 500 2.txt,500,50,0.1,GRASP_PR,13.286532807586374,13.286532807586374,0.0,1,3,30.0,0.1,13.249864128314869,0.0289750703572836,30.05332287152608,10,0.6
Geo,Geo 500 3.txt,500,50,0.1,GRASP,163.3719145357132,164.13693864457093,0.004660889347487832,0,3,30.0,0.1,162.94892804099007,0.347957010495893,30.071299473444622,,
Geo,Geo 500 3.txt,500,50,0.1,GRASP_PR,164.13693864457093,164.13693864457093,0.0,1,3,30.0,0.1,163.77203960412143,0.5110294874859108,30.01569175720215,10,0.6
Geo,Geo 500 4.txt,500,50,0.1,GRASP,131.03635966034628,131.0544682392724,0.00013817597499285575,0,3,30.0,0.1,130.64995737481377,0.27922193269100254,30.087902307510376,,
Geo,Geo 500 4.txt,500,50,0.1,GRASP_PR,131.0544682392724,131.0544682392724,0.0,1,3,30.0,0.1,131.04239585332166,0.008536465970879696,30.025435129801433,10,0.6
Geo,Geo 500 5.txt,500,50,0.1,GRASP,27.810183793903597,27.810183793903597,0.0,1,3,30.0,0.1,27.267626513888747,0.4144831448944637,30.09949866930644,,
Geo,Geo 500 5.txt,500,50,0.1,GRASP_PR,27.640207747069894,27.810183793903597,0.006112007316937061,0,3,30.0,0.1,27.619577838979854,0.029175095811443414,30.07209873199463,10,0.6
Geo,Geo 500 6.txt,500,50,0.1,GRASP,26.97315710561401,27.909873843831704,0.03356219893572594,0,3,30.0,0.1,26.897180556045654,0.05404974069886186,30.077614545822144,,
Geo,Geo 500 6.txt,500,50,0.1,GRASP_PR,27.909873843831704,27.909873843831704,0.0,1,3,30.0,0.1,27.67259838441265,0.19515730104177292,30.083515961964924,10,0.6
Geo,Geo 500 7.txt,500,50,0.1,GRASP,130.60441471941132,131.70632754049123,0.008366437981054018,0,3,30.0,0.1,130.51688444033837,0.061893253891634345,30.08393994967143,,
Geo,Geo 500 7.txt,500,50,0.1,GRASP_PR,131.70632754049123,131.70632754049123,0.0,1,3,30.0,0.1,130.94633847266934,0.5427573862716921,30.04348087310791,10,0.6
Geo,Geo 500 8.txt,500,50,0.1,GRASP,111.84362580295505,113.01354415353323,0.010352018949063372,0,3,30.0,0.1,111.62114626458096,0.15736350615611436,30.390680472056072,,
Geo,Geo 500 8.txt,500,50,0.1,GRASP_PR,113.01354415353323,113.01354415353323,0.0,1,3,30.0,0.1,112.65353897483317,0.303595467763106,30.026992003122967,10,0.6
Geo,Geo 500 9.txt,500,50,0.1,GRASP,167.4957467538758,168.12088985396983,0.003718414175876788,0,3,30.0,0.1,167.30499156970325,0.20248494838161804,30.07498049736023,,
Geo,Geo 500 9.txt,500,50,0.1,GRASP_PR,168.12088985396983,168.12088985396983,0.0,1,3,30.0,0.1,167.88699826323466,0.23368509491402395,30.068569501241047,10,0.6
Geo,Geo 500 10.txt,500,50,0.1,GRASP,158.98748370549131,159.0775555439313,0.0005662133676370332,0,3,30.0,0.1,158.82699060632623,0.13542777675325146,30.181724071502686,,
Geo,Geo 500 10.txt,500,50,0.1,GRASP_PR,159.0775555439313,159.0775555439313,0.0,1,3,30.0,0.1,158.75554649508527,0.24299263172150165,30.05893389383952,10,0.6
Geo,Geo 500 11.txt,500,150,0.3,GRASP,92.3634207889108,92.93512214398153,0.006151617837064979,0,3,30.0,0.1,91.70907698082412,0.4732053813024512,30.20529619852702,,
Geo,Geo 500 11.txt,500,150,0.3,GRASP_PR,92.93512214398153,92.93512214398153,0.0,1,3,30.0,0.1,92.38608847325649,0.4528175665095923,30.39821418126424,10,0.6
Geo,Geo 500 12.txt,500,150,0.3,GRASP,69.10433293170794,70.75371701297152,0.02331162447566097,0,3,30.0,0.1,68.74791600172195,0.2520296465331851,30.422771692276,,
Geo,Geo 500 12.txt,500,150,0.3,GRASP_PR,70.75371701297152,70.75371701297152,0.0,1,3,30.0,0.1,70.47284330770252,0.2637091007965793,31.67038655281067,10,0.6
Geo,Geo 500 13.txt,500,150,0.3,GRASP,132.14703143023502,133.23633836696,0.00817574957460045,0,3,30.0,0.1,131.96734139572982,0.2541200838205425,30.501952568689983,,
Geo,Geo 500 13.txt,500,150,0.3,GRASP_PR,133.23633836696,133.23633836696,0.0,1,3,30.0,0.1,133.07415755433084,0.14157931696159706,31.31085729598999,10,0.6
Geo,Geo 500 14.txt,500,150,0.3,GRASP,109.63658044847584,110.81599371514514,0.010642987777567623,0,3,30.0,0.1,109.07702403784033,0.39653057988928303,30.789975881576538,,
Geo,Geo 500 14.txt,500,150,0.3,GRASP_PR,110.81599371514514,110.81599371514514,0.0,1,3,30.0,0.1,110.41746382490079,0.39022048969320616,32.0370417435964,10,0.6
Geo,Geo 500 15.txt,500,150,0.3,GRASP,34.18290229484332,35.16895657750836,0.02803763257780726,0,3,30.0,0.1,34.093240803395055,0.09015916547955188,30.593019326527912,,
Geo,Geo 500 15.txt,500,150,0.3,GRASP_PR,35.16895657750836,35.16895657750836,0.0,1,3,30.0,0.1,35.030808376959996,0.0978553755065201,30.390466054280598,10,0.6
Geo,Geo 500 16.txt,500,150,0.3,GRASP,131.13076673908262,131.5610123646384,0.003270312517535991,0,3,30.0,0.1,130.79397700962852,0.23887489972396386,30.21730359395345,,
Geo,Geo 500 16.txt,500,150,0.3,GRASP_PR,131.5610123646384,131.5610123646384,0.0,1,3,30.0,0.1,131.4848885359029,0.05382767550874831,31.171204884847004,10,0.6
Geo,Geo 500 17.txt,500,150,0.3,GRASP,128.09890623215895,128.29689384824826,0.0015431988269606132,0,3,30.0,0.1,127.97842103940923,0.08519589682590614,30.88528386751811,,
Geo,Geo 500 17.txt,500,150,0.3,GRASP_PR,128.29689384824826,128.29689384824826,0.0,1,3,30.0,0.1,128.25311275083595,0.030957910868030902,31.469677368799847,10,0.6
Geo,Geo 500 18.txt,500,150,0.3,GRASP,70.47940266603686,71.70633360133498,0.017110496014473005,0,3,30.0,0.1,70.25193406577507,0.21359413010921902,30.116076072057087,,
Geo,Geo 500 18.txt,500,150,0.3,GRASP_PR,71.70633360133498,71.70633360133498,0.0,1,3,30.0,0.1,71.53683609751279,0.21808244029535365,31.661017894744873,10,0.6
Geo,Geo 500 19.txt,500,150,0.3,GRASP,121.7738331675822,123.31161591246439,0.012470704673709117,0,3,30.0,0.1,121.20325794823161,0.42250484386417114,30.711442788441975,,
Geo,Geo 500 19.txt,500,150,0.3,GRASP_PR,123.31161591246439,123.31161591246439,0.0,1,3,30.0,0.1,123.18256805245188,0.1074798329527486,32.04765256245931,10,0.6
Geo,Geo 500 20.txt,500,150,0.3,GRASP,121.55698429138879,122.07870409767918,0.00427363486651158,0,3,30.0,0.1,121.29328818169749,0.29607295070295647,30.357758680979412,,
Geo,Geo 500 20.txt,500,150,0.3,GRASP_PR,122.07870409767918,122.07870409767918,0.0,1,3,30.0,0.1,122.02658229993973,0.06434525297765831,31.496494213740032,10,0.6
Ran,Ran 100 1.txt,100,10,0.1,GRASP,73.0,73.0,0.0,1,3,15.0,0.1,73.0,0.0,15.000840187072754,,
Ran,Ran 100 1.txt,100,10,0.1,GRASP_PR,73.0,73.0,0.0,1,3,15.0,0.1,73.0,0.0,15.000306447347006,10,0.6
Ran,Ran 100 2.txt,100,10,0.1,GRASP,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.000898917516073,,
Ran,Ran 100 2.txt,100,10,0.1,GRASP_PR,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.000295877456665,10,0.6
Ran,Ran 100 3.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.00031320254008,,
Ran,Ran 100 3.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000244140625,10,0.6
Ran,Ran 100 4.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.001248836517334,,
Ran,Ran 100 4.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000611702601114,10,0.6
Ran,Ran 100 5.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.002233982086182,,
Ran,Ran 100 5.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000456094741821,10,0.6
Ran,Ran 100 6.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.002549648284912,,
Ran,Ran 100 6.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000412543614706,10,0.6
Ran,Ran 100 7.txt,100,10,0.1,GRASP,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.001015981038412,,
Ran,Ran 100 7.txt,100,10,0.1,GRASP_PR,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.000457843144735,10,0.6
Ran,Ran 100 8.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.001380761464437,,
Ran,Ran 100 8.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000665585199991,10,0.6
Ran,Ran 100 9.txt,100,10,0.1,GRASP,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.001347223917643,,
Ran,Ran 100 9.txt,100,10,0.1,GRASP_PR,74.0,74.0,0.0,1,3,15.0,0.1,74.0,0.0,15.000238259633383,10,0.6
Ran,Ran 100 10.txt,100,10,0.1,GRASP,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.001757621765137,,
Ran,Ran 100 10.txt,100,10,0.1,GRASP_PR,75.0,75.0,0.0,1,3,15.0,0.1,75.0,0.0,15.000451485315958,10,0.6
Ran,Ran 100 11.txt,100,30,0.3,GRASP,54.0,54.0,0.0,1,3,15.0,0.1,54.0,0.0,15.009365320205688,,
Ran,Ran 100 11.txt,100,30,0.3,GRASP_PR,54.0,54.0,0.0,1,3,15.0,0.1,54.0,0.0,15.001731157302856,10,0.6
Ran,Ran 100 12.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.005963802337646,,
Ran,Ran 100 12.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.002745548884073,10,0.6
Ran,Ran 100 13.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.013338009516398,,
Ran,Ran 100 13.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.001009941101074,10,0.6
Ran,Ran 100 14.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.003630638122559,,
Ran,Ran 100 14.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.001309394836426,10,0.6
Ran,Ran 100 15.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.003771702448526,,
Ran,Ran 100 15.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.002703587214151,10,0.6
Ran,Ran 100 16.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.01076634724935,,
Ran,Ran 100 16.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.001922369003296,10,0.6
Ran,Ran 100 17.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.005199352900187,,
Ran,Ran 100 17.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.002320925394693,10,0.6
Ran,Ran 100 18.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.008378664652506,,
Ran,Ran 100 18.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.002156972885132,10,0.6
Ran,Ran 100 19.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.003867308298746,,
Ran,Ran 100 19.txt,100,30,0.3,GRASP_PR,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.002889394760132,10,0.6
Ran,Ran 100 20.txt,100,30,0.3,GRASP,55.0,55.0,0.0,1,3,15.0,0.1,55.0,0.0,15.008485237757364,,
