dataset,instance,n,m,frac,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_es_of,best_global_of,relative_dev,is_best,avg_of,std_of
Geo,Geo 100 13.txt,100,30,0.3,0.1,15,3,15,0.6,29.83045137845435,29.83045137845435,0.0,1,29.830451378454352,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,5,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,10,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,15,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,5,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,10,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,15,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,5,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,10,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,15,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,5,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,10,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,15,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 18.txt,100,30,0.3,0.1,15,3,5,0.6,109.86908651486671,109.86908651486671,0.0,1,109.86908651486671,0.0
Geo,Geo 100 18.txt,100,30,0.3,0.1,15,3,10,0.6,109.86908651486671,109.86908651486671,0.0,1,109.86908651486671,0.0
Geo,Geo 100 18.txt,100,30,0.3,0.1,15,3,15,0.6,109.86908651486671,109.86908651486671,0.0,1,109.86908651486671,0.0
Geo,Geo 100 19.txt,100,30,0.3,0.1,15,3,5,0.6,152.20673086120834,152.20673086120834,0.0,1,152.20673086120834,0.0
Geo,Geo 100 19.txt,100,30,0.3,0.1,15,3,10,0.6,152.20673086120834,152.20673086120834,0.0,1,152.20673086120834,0.0
Geo,Geo 100 19.txt,100,30,0.3,0.1,15,3,15,0.6,152.20673086120834,152.20673086120834,0.0,1,152.20673086120834,0.0
Geo,Geo 100 20.txt,100,30,0.3,0.1,15,3,5,0.6,140.6048997299596,140.6048997299596,0.0,1,140.5433146283,0.08709448600713568
Geo,Geo 100 20.txt,100,30,0.3,0.1,15,3,10,0.6,140.6048997299596,140.6048997299596,0.0,1,140.6048997299596,0.0
Geo,Geo 100 20.txt,100,30,0.3,0.1,15,3,15,0.6,140.6048997299596,140.6048997299596,0.0,1,140.6048997299596,0.0
Geo,Geo 250 1.txt,250,25,0.1,0.1,15,3,5,0.6,171.01069431541816,171.01069431541816,0.0,1,171.01069431541816,0.0
Geo,Geo 250 1.txt,250,25,0.1,0.1,15,3,10,0.6,171.01069431541816,171.01069431541816,0.0,1,171.01069431541816,0.0
Geo,Geo 250 1.txt,250,25,0.1,0.1,15,3,15,0.6,171.01069431541816,171.01069431541816,0.0,1,171.01069431541816,0.0
Geo,Geo 250 2.txt,250,25,0.1,0.1,15,3,5,0.6,19.6953784905978,19.74700786829741,0.0026145418102808565,0,19.614228184235387,0.057381931924229405
Geo,Geo 250 2.txt,250,25,0.1,0.1,15,3,10,0.6,19.6953784905978,19.74700786829741,0.0026145418102808565,0,19.671582475294112,0.033652647572915
Geo,Geo 250 2.txt,250,25,0.1,0.1,15,3,15,0.6,19.74700786829741,19.74700786829741,0.0,1,19.712588283164337,0.024338322053223182
Geo,Geo 250 3.txt,250,25,0.1,0.1,15,3,5,0.6,137.7540400547108,137.7540400547108,0.0,1,137.7540400547108,0.0
Geo,Geo 250 3.txt,250,25,0.1,0.1,15,3,10,0.6,137.7540400547108,137.7540400547108,0.0,1,137.7540400547108,0.0
Geo,Geo 250 3.txt,250,25,0.1,0.1,15,3,15,0.6,137.7540400547108,137.7540400547108,0.0,1,137.57877105999876,0.2478677893852541
Geo,Geo 250 4.txt,250,25,0.1,0.1,15,3,5,0.6,171.96108204565516,171.96108204565516,0.0,1,171.45810095323972,0.35566134125558785
Geo,Geo 250 4.txt,250,25,0.1,0.1,15,3,10,0.6,171.96108204565516,171.96108204565516,0.0,1,171.70959149944744,0.35566134125558785
Geo,Geo 250 4.txt,250,25,0.1,0.1,15,3,15,0.6,171.96108204565516,171.96108204565516,0.0,1,171.45810095323972,0.35566134125558785
Geo,Geo 250 5.txt,250,25,0.1,0.1,15,3,5,0.6,148.75960721475525,148.75960721475525,0.0,1,148.67333540843197,0.061003379276405104
Geo,Geo 250 5.txt,250,25,0.1,0.1,15,3,10,0.6,148.75960721475525,148.75960721475525,0.0,1,148.67246276016724,0.09597732459784507
Geo,Geo 250 5.txt,250,25,0.1,0.1,15,3,15,0.6,148.71901185821503,148.75960721475525,0.0002728923348232412,0,148.65980362291856,0.04186654468022029
Geo,Geo 250 6.txt,250,25,0.1,0.1,15,3,5,0.6,100.37664896658895,100.37664896658895,0.0,1,99.99479407157986,0.270012185690204
Geo,Geo 250 6.txt,250,25,0.1,0.1,15,3,10,0.6,100.37664896658895,100.37664896658895,0.0,1,99.99479407157986,0.270012185690204
Geo,Geo 250 6.txt,250,25,0.1,0.1,15,3,15,0.6,99.80386662407531,100.37664896658895,0.005706330589939181,0,99.69008447064107,0.1609122645427237
Geo,Geo 250 7.txt,250,25,0.1,0.1,15,3,5,0.6,175.71320164607823,175.71320164607823,0.0,1,175.4064428235606,0.43382248718204947
Geo,Geo 250 7.txt,250,25,0.1,0.1,15,3,10,0.6,174.7929251785253,175.71320164607823,0.00523737806227301,0,174.79292517852528,0.0
Geo,Geo 250 7.txt,250,25,0.1,0.1,15,3,15,0.6,175.71320164607823,175.71320164607823,0.0,1,175.09968400104296,0.43382248718204947
Geo,Geo 250 8.txt,250,25,0.1,0.1,15,3,5,0.6,163.8075924076697,164.030112891031,0.0013565831263503013,0,163.49394503239736,0.3554542719387827
Geo,Geo 250 8.txt,250,25,0.1,0.1,15,3,10,0.6,164.030112891031,164.030112891031,0.0,1,163.82640893248166,0.28808090088956384
Geo,Geo 250 8.txt,250,25,0.1,0.1,15,3,15,0.6,163.8075924076697,164.030112891031,0.0013565831263503013,0,163.761421812046,0.04963386614559771
Geo,Geo 250 9.txt,250,25,0.1,0.1,15,3,5,0.6,179.17754568217686,179.17754568217686,0.0,1,179.0226523626246,0.21905223323183307
Geo,Geo 250 9.txt,250,25,0.1,0.1,15,3,10,0.6,179.17754568217686,179.17754568217686,0.0,1,179.1676523577049,0.006995636822622074
Geo,Geo 250 9.txt,250,25,0.1,0.1,15,3,15,0.6,179.17754568217686,179.17754568217686,0.0,1,179.17754568217686,0.0
Geo,Geo 250 10.txt,250,25,0.1,0.1,15,3,5,0.6,102.22717864710907,102.22717864710907,0.0,1,102.21531535320094,0.016777231139309505
Geo,Geo 250 10.txt,250,25,0.1,0.1,15,3,10,0.6,102.22717864710907,102.22717864710907,0.0,1,102.21531535320094,0.016777231139309505
Geo,Geo 250 10.txt,250,25,0.1,0.1,15,3,15,0.6,102.22717864710907,102.22717864710907,0.0,1,102.22717864710906,0.0
Geo,Geo 250 11.txt,250,75,0.3,0.1,15,3,5,0.6,31.068244241116894,31.068244241116894,0.0,1,30.92488975951488,0.16112670006432514
