dataset,instance,n,m,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_of,avg_of,std_of,avg_grasp_iters
Ran,Ran 250 1.txt,250,25,0.3,10,2,10,0.4,59.0,59.0,0.0,42.5
Ran,Ran 250 1.txt,250,25,0.3,10,2,15,0.4,60.0,59.5,0.5,62.5
Ran,Ran 250 1.txt,250,25,0.3,10,2,20,0.4,60.0,59.5,0.5,54.0
Ran,Ran 250 10.txt,250,25,0.3,10,2,5,0.4,60.0,59.5,0.5,56.5
Ran,Ran 250 10.txt,250,25,0.3,10,2,10,0.4,60.0,59.5,0.5,60.5
Ran,Ran 250 10.txt,250,25,0.3,10,2,15,0.4,60.0,60.0,0.0,62.0
Ran,Ran 250 10.txt,250,25,0.3,10,2,20,0.4,60.0,60.0,0.0,60.0
Ran,Ran 250 1.txt,250,75,0.3,10,2,5,0.4,51.0,51.0,0.0,7.5
Ran,Ran 250 1.txt,250,75,0.3,10,2,10,0.4,51.0,51.0,0.0,11.0
Ran,Ran 250 1.txt,250,75,0.3,10,2,15,0.4,51.0,51.0,0.0,15.0
Ran,Ran 250 1.txt,250,75,0.3,10,2,20,0.4,51.0,51.0,0.0,18.0
Ran,Ran 250 10.txt,250,75,0.3,10,2,5,0.4,51.0,51.0,0.0,8.0
Ran,Ran 250 10.txt,250,75,0.3,10,2,10,0.4,51.0,51.0,0.0,10.5
Ran,Ran 250 10.txt,250,75,0.3,10,2,15,0.4,51.0,51.0,0.0,15.0
Ran,Ran 250 10.txt,250,75,0.3,10,2,20,0.4,51.0,51.0,0.0,18.5
